soil_data_source	time_stamp
https://rest.isric.org/soilgrids/v2.0/properties/query	2024-08-16T09:25:04.016601+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_0-5cm_M_250m.tif	2024-08-16T09:25:06.160269+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_5-15cm_M_250m.tif	2024-08-16T09:25:06.250009+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_15-30cm_M_250m.tif	2024-08-16T09:25:06.322330+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_30-60cm_M_250m.tif	2024-08-16T09:25:06.402458+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_60-100cm_M_250m.tif	2024-08-16T09:25:06.489703+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF2_100-200cm_M_250m.tif	2024-08-16T09:25:06.572045+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_0-5cm_M_250m.tif	2024-08-16T09:25:06.657989+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_5-15cm_M_250m.tif	2024-08-16T09:25:06.737552+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_15-30cm_M_250m.tif	2024-08-16T09:25:06.823570+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_30-60cm_M_250m.tif	2024-08-16T09:25:06.904360+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_60-100cm_M_250m.tif	2024-08-16T09:25:06.986039+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCpF4.2_100-200cm_M_250m.tif	2024-08-16T09:25:07.073001+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCsat_0-5cm_M_250m.tif	2024-08-16T09:25:07.154067+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCsat_5-15cm_M_250m.tif	2024-08-16T09:25:07.238890+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCsat_15-30cm_M_250m.tif	2024-08-16T09:25:07.317822+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCsat_30-60cm_M_250m.tif	2024-08-16T09:25:07.392483+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCsat_60-100cm_M_250m.tif	2024-08-16T09:25:07.473367+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/WCsat_100-200cm_M_250m.tif	2024-08-16T09:25:07.553981+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/Ksat_0-5cm_M_250m.tif	2024-08-16T09:25:07.658090+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/Ksat_5-15cm_M_250m.tif	2024-08-16T09:25:07.736261+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/Ksat_15-30cm_M_250m.tif	2024-08-16T09:25:07.822651+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/Ksat_30-60cm_M_250m.tif	2024-08-16T09:25:07.903908+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/Ksat_60-100cm_M_250m.tif	2024-08-16T09:25:07.987882+00:00
http://134.94.199.14/grasslands-pdt/soilMapsHiHydroSoil/Ksat_100-200cm_M_250m.tif	2024-08-16T09:25:08.068446+00:00
