Date	DayCount	PFT	Fraction	NumberPlants	CoveredArea	ShootBiomass	GreenShootBiomass	BrownShootBiomass	ClippedShootBiomass	RootBiomass	RecruitmentBiomass	ExudationBiomass	GPP	NPP	Respiration
2013-01-01	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-01	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-01	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-02	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-02	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-02	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-03	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-03	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-03	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-04	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-04	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-04	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-05	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-05	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-05	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-06	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-06	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-06	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-07	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-07	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-07	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-08	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-08	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-08	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-09	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-09	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-09	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-10	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-10	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-11	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-11	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-12	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2013-01-12	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0
