Date	DayCount	PFT	Age	NumberPlants	Height	Width	LAI	CoveredArea	RootDepth	NumberSoilLayers	ShootBiomass	GreenShootBiomass	BrownShootBiomass	ClippedShootBiomass	RootBiomass	RecruitmentBiomass	ExudationBiomass	GPP	NPP	Respiration	Radiation	ShadingIndicator	LimitingFactorWater	LimitingFactorNitrogen	AllocationShoot	AllocationRoot	AllocationRecruitment	AllocationExudation
2013-04-14	104	0	1	4	1.06754	0.88962	0.0741217	0.621583	3.09759	1	0.000729923	0.000722137	7.78657e-06	0	0.000310188	0	4.50447e-06	6.33501e-05	4.50447e-05	1.83054e-05	310.338	1	1	1	0.631343	0.268657	0	0.1
2013-04-14	104	1	1	5	0.606289	1.51572	0.0489785	1.80439	3.59798	1	0.000875183	0.000856107	1.90757e-05	0	0.000215278	0	1.01446e-05	0.000133769	0.000101446	3.23227e-05	309.738	0.998068	1	1	0.721782	0.178218	0	0.1
2013-04-14	104	2	1	6	0.900832	1.26167	0.268408	1.2502	6.03031	1	0.00117031	0.00115275	1.75678e-05	0	0.000341754	0	5.69483e-05	0.000718829	0.000569483	0.000149345	309.738	0.998068	1	1	0.69638	0.20362	0	0.1
2013-04-15	105	0	2	3	1.08309	0.902577	0.0752013	0.639821	3.13709	1	0.000762284	0.000746489	1.57945e-05	0	0.000323528	0	5.12811e-06	7.43913e-05	5.12811e-05	2.31102e-05	552.701	1	1	1	0.631343	0.268657	0	0.1
2013-04-15	105	1	2	5	0.626196	1.56549	0.0505866	1.92482	3.70072	1	0.000964253	0.000924834	3.94197e-05	0	0.000236387	0	1.23458e-05	0.000164876	0.000123458	4.14182e-05	551.663	0.998122	1	1	0.721782	0.178218	0	0.1
2013-04-15	105	2	2	6	1.04836	1.46829	0.312364	1.69322	7.11774	1	0.00184459	0.00180087	4.37228e-05	0	0.000538245	0	9.68321e-05	0.00122515	0.000968321	0.00025683	551.663	0.998122	1	1	0.69638	0.20362	0	0.1
2013-04-16	106	0	3	3	1.09849	0.915405	0.07627	0.658137	3.17617	1	0.000795249	0.000771184	2.40647e-05	0	0.000337109	0	5.22525e-06	7.50746e-05	5.22525e-05	2.28221e-05	476.459	1	1	1	0.631343	0.268657	0	0.1
2013-04-16	106	1	3	5	0.645725	1.61431	0.0521643	2.04675	3.80124	1	0.00105731	0.000995934	6.13781e-05	0	0.000258398	0	1.29014e-05	0.000171734	0.000129014	4.27201e-05	455.578	0.956174	1	1	0.721782	0.178218	0	0.1
2013-04-16	106	2	3	6	1.21506	1.70177	0.362034	2.27452	8.36447	1	0.00287188	0.00278731	8.4567e-05	0	0.000837577	0	0.00014753	0.00186525	0.0014753	0.000389948	476.459	1	1	1	0.69638	0.20362	0	0.1
2013-04-17	107	0	4	3	1.11312	0.927597	0.0772859	0.675785	3.21321	1	0.00082745	0.000794849	3.26008e-05	0	0.00035035	0	5.10557e-06	7.46493e-05	5.10557e-05	2.35936e-05	392.339	1	1	1	0.631343	0.268657	0	0.1
2013-04-17	107	1	4	5	0.663389	1.65847	0.0535912	2.16026	3.89155	1	0.00114647	0.00106147	8.50058e-05	0	0.000279363	0	1.23648e-05	0.000166674	0.000123648	4.30254e-05	303.584	0.773778	1	1	0.721782	0.178218	0	0.1
2013-04-17	107	2	4	6	1.40026	1.96115	0.417215	3.02072	9.76884	1	0.00439538	0.00424762	0.000147767	0	0.00128143	0	0.000218796	0.00277003	0.00218796	0.000582062	392.339	1	1	1	0.69638	0.20362	0	0.1
2013-04-18	108	0	5	3	1.12855	0.940461	0.0783577	0.694659	3.25235	1	0.000862356	0.000820965	4.1391e-05	0	0.000364727	0	5.53548e-06	8.17029e-05	5.53548e-05	2.63481e-05	513.789	1	1	1	0.631343	0.268657	0	0.1
2013-04-18	108	1	5	5	0.68051	1.70127	0.0549743	2.27321	3.9788	1	0.00123755	0.00112738	0.000110169	0	0.000300719	0	1.26337e-05	0.000172397	0.000126337	4.60597e-05	273.587	0.53249	1	1	0.721782	0.178218	0	0.1
2013-04-18	108	2	5	6	1.62434	2.27498	0.48398	4.06486	11.4923	2	0.0068612	0.00661714	0.000244059	0	0.00199996	0	0.000354126	0.00448637	0.00354126	0.000945114	513.789	1	1	1	0.69638	0.20362	0	0.1
2013-04-19	109	0	6	3	1.14425	0.953541	0.0794475	0.714116	3.29212	1	0.00089884	0.000848377	5.04624e-05	0	0.000379759	0	5.7867e-06	8.11341e-05	5.7867e-05	2.32671e-05	416.994	1	1	1	0.631343	0.268657	0	0.1
2013-04-19	109	1	6	5	0.692304	1.73076	0.0559271	2.35268	4.03733	1	0.00130302	0.00116614	0.000136874	0	0.000315669	0	9.08887e-06	0.000124087	9.08887e-05	3.31984e-05	111.438	0.26724	1	1	0.721782	0.178218	0	0.1
2013-04-19	109	2	6	6	1.87502	2.62608	0.558673	5.41634	13.4472	2	0.0105533	0.0101593	0.000394054	0	0.00307568	0	0.000530249	0.00669143	0.00530249	0.00138895	416.994	1	1	1	0.69638	0.20362	0	0.1
2013-04-20	110	0	7	3	1.15661	0.96384	0.0803056	0.729625	3.32314	1	0.000928279	0.000870681	5.75982e-05	0	0.000391776	0	4.67206e-06	6.44516e-05	4.67206e-05	1.7731e-05	419.31	1	1	1	0.631343	0.268657	0	0.1
2013-04-20	110	1	7	5	0.696187	1.74047	0.0562408	2.37915	4.05333	1	0.00132507	0.00116716	0.000157904	0	0.000319843	0	3.07721e-06	4.57006e-05	3.07721e-05	1.49284e-05	35.7686	0.0853034	1	1	0.721782	0.178218	0	0.1
